timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout,analysis.possible_anomaly,analysis.prediction_result,analysis.used_model
2024-09-01 19:48:16,14988.734374999998,11291.0,1181420.4062499998,297.171875,311.765625,705100316,414608767,0,2160892847,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3999223808,76.3,12840542208,3999223808,509722226688,215843700736,293878525952,42.3,1162843,2886258,47968991232,325799079936,627,743,433786004,804723697,609492,999750,0,29,0,0,,,
2024-09-01 19:48:16,14988.734374999998,11291.0,1181420.6093749998,297.171875,311.765625,705100588,414608970,0,2160895868,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3999207424,76.3,12840558592,3999207424,509722226688,215843700736,293878525952,42.3,1162843,2886258,47968991232,325799079936,627,743,433786004,804723697,609492,999750,0,29,0,0,,,
2024-09-01 19:48:17,14988.765624999998,11291.046875000233,1181432.5312499998,297.171875,311.78125,705115842,414619472,0,2160926607,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3996332032,76.3,12843433984,3996332032,509722226688,215843700736,293878525952,42.3,1162843,2886268,47968991232,325800316928,627,743,433786004,804723697,609492,999750,0,29,0,0,,,
2024-09-01 19:48:18,14988.781249999998,11291.078125000233,1181444.4687499998,297.171875,311.78125,705132314,414630477,0,2160972017,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3996176384,76.3,12843589632,3996176384,509722226688,215843704832,293878521856,42.3,1162843,2886274,47968991232,325800419328,627,743,433786070,804723697,609493,999750,0,29,0,0,,,
2024-09-01 19:48:19,14988.859374999998,11291.125000000233,1181456.3593749998,297.171875,311.78125,705148203,414641095,0,2161009667,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3996196864,76.3,12843569152,3996196864,509722226688,215843704832,293878521856,42.3,1162843,2886280,47968991232,325800525824,627,743,433786070,804723697,609493,999750,0,29,0,0,,,
2024-09-01 19:48:20,14989.015624999998,11291.265625000233,1181468.0624999998,297.1875,311.78125,705164823,414652540,0,2161054012,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3996409856,76.3,12843356160,3996409856,509722226688,215843778560,293878448128,42.3,1162843,2886288,47968991232,325800718336,627,743,433786504,804723697,609495,999750,0,29,0,0,,,
2024-09-01 19:48:21,14989.046874999998,11291.281250000233,1181480.0156249998,297.1875,311.78125,705183061,414665191,0,2161101848,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3997454336,76.3,12842311680,3997454336,509722226688,215843782656,293878444032,42.3,1162843,2886305,47968991232,325802516480,627,743,433786938,804723697,609497,999750,0,29,0,0,,,
2024-09-01 19:48:30,14989.687499999998,11291.562500000233,1181587.0937499998,297.1875,311.796875,705327304,414763084,0,2161426677,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,4000866304,76.2,12838899712,4000866304,509722226688,215843831808,293878394880,42.3,1163085,2886476,47970187264,325807214592,627,743,433794987,804744346,609542,999798,0,29,0,0,,,
2024-09-01 19:48:30,14989.687499999998,11291.578125000233,1181587.3906249998,297.1875,311.796875,705327637,414763321,0,2161429771,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,4000854016,76.2,12838912000,4000854016,509722226688,215843835904,293878390784,42.3,1163085,2886476,47970187264,325807214592,627,743,433794987,804744346,609542,999798,0,29,0,0,,,
2024-09-01 19:48:31,14989.718749999998,11291.609375000233,1181599.3281249998,297.1875,311.796875,705343215,414773875,0,2161462888,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,4001214464,76.2,12838551552,4001214464,509722226688,215843840000,293878386688,42.3,1163085,2886482,47970187264,325807325184,627,743,433794987,804744346,609542,999798,0,29,0,0,,,
2024-09-01 19:48:47,14990.593749999998,11292.843750000233,1181789.2812499998,297.21875,311.8125,705596485,414943461,0,2162138627,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,4000681984,76.2,12839084032,4000681984,509722226688,215856013312,293866213376,42.3,1163090,2886580,47970297856,325814124544,627,743,433800384,804746455,609560,999815,0,29,0,0,,,
2024-09-01 19:48:47,14990.593749999998,11292.859375000233,1181789.4531249998,297.21875,311.8125,705596922,414943751,0,2162141870,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,4000669696,76.2,12839096320,4000669696,509722226688,215856013312,293866213376,42.3,1163090,2886580,47970297856,325814124544,627,743,433800384,804746455,609560,999815,0,29,0,0,,,
2024-09-01 19:48:48,14991.624999999998,11292.968750000233,1181800.4062499998,297.25,311.8125,705640755,414968303,0,2162322906,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,4001615872,76.2,12838150144,4001615872,509722226688,215856017408,293866209280,42.3,1163104,2886601,47970859008,325814370304,627,743,433800384,804747009,609560,999817,0,29,0,0,,,
2024-09-01 19:48:49,14992.906249999998,11293.343750000233,1181810.8437499998,297.265625,311.8125,705714714,415008072,0,2162660991,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3984441344,76.3,12855324672,3984441344,509722226688,215856021504,293866205184,42.3,1163116,2886632,47971186688,325814939648,627,743,433800384,804747009,609560,999817,0,29,0,0,,,
2024-09-01 19:48:50,14993.578124999998,11293.671875000233,1181821.8437499998,297.265625,311.8125,705755365,415030150,0,2162913765,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3999494144,76.2,12840271872,3999494144,509722226688,215868604416,293853622272,42.4,1163129,2886681,47971743744,325826875392,627,743,433800426,804747069,609561,999818,0,29,0,0,,,
2024-09-01 19:48:51,14993.843749999998,11294.156250000233,1181833.0937499998,297.28125,311.828125,705796001,415052322,0,2163172848,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3999715328,76.2,12840050688,3999715328,509722226688,215868657664,293853569024,42.4,1163131,2886716,47971788800,325828964352,627,743,433801668,804748430,609569,999827,0,29,0,0,,,
2024-09-01 19:48:52,14993.906249999998,11294.187500000233,1181844.9999999998,297.28125,311.828125,705818110,415066366,0,2163239686,0.0,0.0,0.0,13421772800,1388847104,12032925696,10.3,0,0,16839766016,3998416896,76.3,12841349120,3998416896,509722226688,215868657664,293853569024,42.4,1163131,2886719,47971788800,325829025792,627,743,433801668,804748430,609569,999827,0,29,0,0,,,
